J. A. FENNELLY and D. G. TORR Photon Cross Sections for O, N2, O2, and N
TABLE 1. Photoionization and Photoabsorption Cross Sections for O, N2, O2, and N
See page 331 for Explanation of Tables
Wavelength(Angstrom) | O->       | N2->              | O2->              | N-> |
|    | 4S  2D  2P  4pe  2pe  ION | ABS  N2+  N+  ION | ABS  O2+  O+  ION | ION |
|    |                                x10-18 cm2                               |

47.87 0.05 0.05 0.04 0.02 0.01 0.18 0.21 0.13 0.08 0.21 0.39 0.39 0.00 0.39 0.10
49.22 0.06 0.06 0.04 0.02 0.01 0.19 0.23 0.14 0.09 0.23 0.42 0.42 0.00 0.42 0.11
49.60 0.05 0.06 0.04 0.02 0.01 0.20 0.23 0.14 0.09 0.23 0.43 0.43 0.00 0.43 0.11
50.36 0.05 0.06 0.04 0.02 0.01 0.20 0.24 0.14 0.09 0.24 0.44 0.44 0.00 0.44 0.12
50.52 0.05 0.06 0.04 0.02 0.01 0.21 0.24 0.14 0.09 0.24 0.44 0.44 0.00 0.44 0.12
50.69 0.06 0.06 0.04 0.02 0.01 0.21 0.24 0.15 0.10 0.24 0.45 0.45 0.00 0.45 0.12
51.70 0.06 0.07 0.04 0.02 0.02 0.22 0.25 0.15 0.10 0.25 0.47 0.47 0.00 0.47 0.12
52.30 0.06 0.07 0.04 0.02 0.02 0.22 0.26 0.16 0.10 0.26 0.48 0.48 0.00 0.48 0.13
52.91 0.06 0.07 0.04 0.02 0.02 0.23 0.27 0.16 0.11 0.27 0.50 0.50 0.00 0.50 0.13
53.90 0.06 0.07 0.04 0.02 0.02 0.24 0.28 0.17 0.11 0.28 0.52 0.52 0.00 0.52 0.14
54.15 0.06 0.08 0.04 0.02 0.02 0.24 0.28 0.17 0.11 0.28 0.53 0.53 0.00 0.53 0.14
54.42 0.07 0.08 0.05 0.02 0.02 0.25 0.29 0.17 0.11 0.29 0.54 0.54 0.00 0.54 0.14
54.70 0.06 0.08 0.05 0.02 0.02 0.25 0.29 0.18 0.12 0.29 0.54 0.54 0.00 0.54 0.14
55.06 0.07 0.08 0.05 0.02 0.02 0.26 0.30 0.18 0.12 0.30 0.55 0.55 0.00 0.55 0.14
55.34 0.07 0.08 0.05 0.03 0.02 0.26 0.30 0.18 0.12 0.30 0.56 0.56 0.00 0.56 0.14
56.08 0.07 0.08 0.05 0.03 0.02 0.27 0.31 0.19 0.12 0.31 0.58 0.58 0.00 0.58 0.15
56.40 0.07 0.08 0.05 0.03 0.02 0.28 0.31 0.19 0.12 0.31 0.59 0.59 0.00 0.59 0.15
56.92 0.07 0.09 0.05 0.03 0.02 0.28 0.32 0.19 0.13 0.32 0.60 0.60 0.00 0.60 0.15
57.36 0.07 0.09 0.05 0.03 0.02 0.29 0.33 0.20 0.13 0.33 0.61 0.61 0.00 0.61 0.16
57.56 0.07 0.09 0.06 0.03 0.02 0.29 0.33 0.20 0.13 0.33 0.62 0.62 0.00 0.62 0.16
57.88 0.08 0.09 0.05 0.03 0.02 0.30 0.34 0.20 0.13 0.34 0.62 0.62 0.00 0.62 0.16
58.96 0.08 0.10 0.06 0.03 0.02 0.31 0.35 0.21 0.14 0.35 0.65 0.65 0.00 0.65 0.17
59.62 0.08 0.10 0.06 0.03 0.02 0.32 0.36 0.22 0.14 0.36 0.67 0.67 0.00 0.67 0.17
60.30 0.09 0.10 0.06 0.03 0.02 0.34 0.37 0.22 0.15 0.37 0.68 0.68 0.00 0.68 0.18
60.85 0.09 0.10 0.06 0.03 0.02 0.35 0.38 0.23 0.15 0.38 0.70 0.70 0.00 0.70 0.18
61.07 0.09 0.11 0.06 0.03 0.02 0.35 0.38 0.23 0.15 0.38 0.70 0.70 0.00 0.70 0.18
61.63 0.09 0.11 0.07 0.03 0.03 0.36 0.39 0.24 0.15 0.39 0.72 0.72 0.00 0.72 0.18
61.90 0.10 0.11 0.07 0.03 0.03 0.37 0.39 0.24 0.15 0.39 0.73 0.73 0.00 0.73 0.19
62.30 0.10 0.11 0.07 0.03 0.03 0.38 0.40 0.24 0.16 0.40 0.74 0.74 0.00 0.74 0.19
62.77 0.10 0.11 0.07 0.03 0.03 0.38 0.40 0.25 0.16 0.40 0.75 0.75 0.00 0.75 0.19
62.92 0.10 0.11 0.07 0.03 0.03 0.39 0.41 0.25 0.16 0.41 0.75 0.75 0.00 0.75 0.19
63.16 0.10 0.11 0.07 0.03 0.03 0.39 0.41 0.25 0.16 0.41 0.76 0.76 0.00 0.76 0.20
63.30 0.10 0.12 0.07 0.03 0.03 0.39 0.41 0.25 0.16 0.41 0.76 0.76 0.00 0.76 0.20
63.65 0.10 0.12 0.08 0.04 0.03 0.40 0.42 0.25 0.16 0.42 0.77 0.77 0.00 0.77 0.20
64.11 0.11 0.12 0.08 0.03 0.03 0.41 0.42 0.26 0.17 0.42 0.78 0.78 0.00 0.78 0.20
64.38 0.11 0.12 0.07 0.03 0.03 0.41 0.43 0.26 0.17 0.43 0.79 0.79 0.00 0.79 0.20
64.60 0.11 0.12 0.07 0.03 0.03 0.42 0.43 0.26 0.17 0.43 0.80 0.80 0.00 0.80 0.21
65.21 0.11 0.12 0.08 0.03 0.03 0.43 0.44 0.27 0.17 0.44 0.82 0.82 0.00 0.82 0.21
65.71 0.12 0.13 0.08 0.03 0.03 0.44 0.44 0.27 0.17 0.44 0.84 0.84 0.00 0.84 0.21
65.85 0.12 0.13 0.08 0.04 0.03 0.44 0.45 0.27 0.17 0.45 0.84 0.84 0.00 0.84 0.22
66.30 0.12 0.13 0.08 0.04 0.03 0.45 0.45 0.27 0.18 0.45 0.86 0.86 0.00 0.86 0.22
67.14 0.12 0.14 0.09 0.04 0.03 0.47 0.46 0.28 0.18 0.46 0.89 0.89 0.00 0.89 0.22
67.35 0.12 0.13 0.09 0.04 0.03 0.48 0.46 0.28 0.18 0.46 0.89 0.89 0.00 0.89 0.23
67.60 0.12 0.14 0.09 0.04 0.03 0.48 0.47 0.29 0.18 0.47 0.90 0.90 0.00 0.90 0.23
68.35 0.13 0.14 0.09 0.04 0.04 0.50 0.48 0.29 0.19 0.48 0.93 0.93 0.00 0.93 0.23
68.90 0.13 0.15 0.09 0.04 0.03 0.51 0.50 0.30 0.19 0.50 0.94 0.94 0.00 0.94 0.24
69.65 0.13 0.15 0.10 0.04 0.03 0.52 0.51 0.31 0.20 0.51 0.96 0.96 0.00 0.96 0.24
70.00 0.14 0.15 0.09 0.05 0.03 0.53 0.52 0.32 0.20 0.52 0.98 0.98 0.00 0.98 0.25
70.54 0.14 0.16 0.10 0.05 0.03 0.54 0.53 0.32 0.21 0.53 0.99 0.99 0.00 0.99 0.25
70.75 0.14 0.15 0.10 0.05 0.03 0.55 0.53 0.33 0.21 0.53 1.00 1.00 0.00 1.00 0.25
71.00 0.15 0.16 0.10 0.05 0.03 0.55 0.54 0.33 0.21 0.54 1.00 1.00 0.00 1.00 0.26
71.94 0.15 0.16 0.11 0.05 0.04 0.57 0.56 0.34 0.22 0.56 1.03 1.03 0.00 1.03 0.26
72.19 0.15 0.16 0.11 0.05 0.04 0.58 0.56 0.34 0.22 0.56 1.04 1.04 0.00 1.04 0.27
72.31 0.15 0.16 0.11 0.05 0.04 0.58 0.57 0.35 0.22 0.57 1.04 1.04 0.00 1.04 0.27
72.63 0.15 0.16 0.11 0.05 0.04 0.59 0.57 0.35 0.22 0.57 1.06 1.06 0.00 1.06 0.27
72.80 0.16 0.16 0.11 0.05 0.04 0.59 0.57 0.35 0.22 0.57 1.06 1.06 0.00 1.06 0.27
73.55 0.15 0.17 0.11 0.05 0.04 0.61 0.59 0.36 0.23 0.59 1.09 1.09 0.00 1.09 0.28
74.21 0.16 0.17 0.11 0.05 0.04 0.62 0.60 0.37 0.23 0.60 1.11 1.11 0.00 1.11 0.28
74.44 0.17 0.18 0.12 0.06 0.04 0.63 0.60 0.37 0.23 0.60 1.12 1.12 0.00 1.12 0.29
74.83 0.16 0.18 0.12 0.06 0.04 0.64 0.61 0.37 0.24 0.61 1.14 1.14 0.00 1.14 0.29
75.03 0.17 0.18 0.12 0.06 0.04 0.64 0.62 0.38 0.24 0.62 1.14 1.14 0.00 1.14 0.29
75.29 0.17 0.18 0.12 0.06 0.04 0.65 0.62 0.38 0.24 0.62 1.15 1.15 0.00 1.15 0.29
75.46 0.17 0.18 0.12 0.06 0.04 0.65 0.62 0.38 0.24 0.62 1.16 1.16 0.00 1.16 0.29
75.73 0.17 0.18 0.12 0.05 0.05 0.66 0.63 0.38 0.24 0.63 1.17 1.17 0.00 1.17 0.30
76.01 0.17 0.19 0.12 0.05 0.05 0.66 0.63 0.39 0.25 0.63 1.18 1.18 0.00 1.18 0.30
76.48 0.17 0.18 0.12 0.06 0.05 0.67 0.64 0.39 0.25 0.64 1.19 1.19 0.00 1.19 0.30
76.83 0.18 0.19 0.13 0.06 0.05 0.68 0.65 0.40 0.25 0.65 1.21 1.21 0.00 1.21 0.31
76.94 0.18 0.19 0.13 0.06 0.05 0.68 0.65 0.40 0.25 0.65 1.21 1.21 0.00 1.21 0.31
77.30 0.18 0.19 0.12 0.06 0.05 0.69 0.66 0.40 0.25 0.66 1.22 1.22 0.00 1.22 0.31
77.50 0.18 0.20 0.12 0.06 0.05 0.70 0.66 0.40 0.26 0.66 1.23 1.23 0.00 1.23 0.31
77.74 0.18 0.20 0.13 0.06 0.04 0.70 0.66 0.41 0.26 0.66 1.24 1.24 0.00 1.24 0.32
78.56 0.18 0.20 0.13 0.06 0.05 0.72 0.68 0.42 0.26 0.68 1.27 1.27 0.00 1.27 0.32
78.70 0.19 0.20 0.13 0.06 0.05 0.73 0.68 0.42 0.26 0.68 1.28 1.28 0.00 1.28 0.32
79.08 0.19 0.21 0.14 0.06 0.05 0.74 0.69 0.42 0.27 0.69 1.29 1.29 0.00 1.29 0.33
79.48 0.20 0.21 0.14 0.07 0.05 0.75 0.69 0.43 0.27 0.69 1.30 1.30 0.00 1.30 0.33
79.76 0.20 0.21 0.14 0.07 0.05 0.76 0.70 0.43 0.27 0.70 1.31 1.31 0.00 1.31 0.33
80.00 0.20 0.21 0.14 0.07 0.05 0.76 0.70 0.43 0.27 0.70 1.32 1.32 0.00 1.32 0.34
80.21 0.20 0.22 0.14 0.06 0.05 0.77 0.71 0.43 0.27 0.71 1.33 1.33 0.00 1.33 0.34
80.55 0.20 0.21 0.14 0.06 0.05 0.78 0.71 0.44 0.28 0.71 1.34 1.34 0.00 1.34 0.34
80.94 0.21 0.22 0.14 0.07 0.05 0.79 0.72 0.44 0.28 0.72 1.36 1.36 0.00 1.36 0.35
81.16 0.21 0.22 0.15 0.07 0.06 0.79 0.73 0.45 0.28 0.73 1.36 1.36 0.00 1.36 0.35
81.58 0.21 0.23 0.15 0.07 0.06 0.81 0.73 0.45 0.28 0.73 1.38 1.38 0.00 1.38 0.35
81.94 0.21 0.23 0.15 0.01 0.06 0.82 0.74 0.45 0.28 0.74 1.39 1.39 0.00 1.39 0.36
82.10 0.21 0.23 0.15 0.07 0.06 0.82 0.74 0.46 0.29 0.74 1.40 1.40 0.00 1.40 0.36
82.43 0.22 0.23 0.15 0.07 0.06 0.83 0.75 0.46 0.29 0.75 1.41 1.41 0.00 1.41 0.36
82.67 0.22 0.23 0.15 0.07 0.06 0.84 0.76 0.47 0.29 0.76 1.43 1.43 0.00 1.43 0.36
83.25 0.22 0.23 0.16 0.07 0.05 0.85 0.78 0.48 0.30 0.78 1.45 1.45 0.00 1.45 0.37
83.42 0.22 0.24 0.16 0.07 0.05 0.85 0.78 0.48 0.30 0.78 1.46 1.46 0.00 1.46 0.37
83.67 0.22 0.24 0.16 0.07 0.05 0.86 0.79 0.49 0.30 0.79 1.47 1.47 0.00 1.47 0.37
84.00 0.23 0.24 0.16 0.08 0.05 0.86 0.80 0.49 0.31 0.80 1.49 1.49 0.00 1.49 0.38
84.26 0.23 0.24 0.16 0.08 0.06 0.87 0.81 0.50 0.31 0.81 1.50 1.50 0.00 1.50 0.38
84.50 0.23 0.24 0.16 0.08 0.06 0.87 0.82 0.50 0.31 0.82 1.51 1.51 0.00 1.51 0.38
84.72 0.23 0.25 0.16 0.07 0.06 0.88 0.82 0.51 0.32 0.82 1.53 1.53 0.00 1.53 0.38
84.86 0.23 0.25 0.16 0.07 0.06 0.88 0.83 0.51 0.32 0.83 1.53 1.53 0.00 1.53 0.39
85.16 0.23 0.25 0.16 0.08 0.06 0.89 0.84 0.52 0.32 0.84 1.55 1.55 0.00 1.55 0.39
85.50 0.23 0.25 0.16 0.08 0.06 0.90 0.85 0.52 0.32 0.85 1.56 1.56 0.00 1.56 0.39
85.69 0.24 0.25 0.17 0.08 0.06 0.90 0.85 0.53 0.33 0.85 1.57 1.57 0.00 1.57 0.39
85.87 0.24 0.25 0.17 0.08 0.06 0.90 0.86 0.53 0.33 0.86 1.58 1.58 0.00 1.58 0.40
86.23 0.24 0.25 0.17 0.08 0.06 0.91 0.87 0.54 0.33 0.87 1.60 1.60 0.00 1.60 0.40
86.40 0.24 0.26 0.17 0.08 0.06 0.92 0.87 0.54 0.34 0.87 1.61 1.61 0.00 1.61 0.40
86.77 0.24 0.26 0.17 0.07 0.06 0.92 0.89 0.55 0.34 0.89 1.62 1.62 0.00 1.62 0.41
86.98 0.24 0.26 0.17 0.07 0.06 0.93 0.89 0.55 0.34 0.89 1.64 1.64 0.00 1.64 0.41
87.30 0.24 0.26 0.17 0.07 0.07 0.93 0.90 0.56 0.35 0.90 1.65 1.65 0.00 1.65 0.41
87.61 0.25 0.26 0.17 0.08 0.07 0.94 0.91 0.56 0.35 0.91 1.67 1.67 0.00 1.67 0.41
88.10 0.25 0.27 0.17 0.08 0.07 0.95 0.93 0.57 0.35 0.93 1.69 1.69 0.00 1.69 0.42
88.42 0.25 0.27 0.18 0.08 0.07 0.96 0.94 0.58 0.36 0.94 1.71 1.71 0.00 1.71 0.42
88.60 0.25 0.27 0.18 0.08 0.07 0.96 0.94 0.58 0.36 0.94 1.71 1.71 0.00 1.71 0.43
88.90 0.25 0.27 0.18 0.08 0.06 0.97 0.95 0.59 0.36 0.95 1.73 1.73 0.00 1.73 0.43
89.14 0.26 0.27 0.18 0.08 0.06 0.98 0.96 0.59 0.37 0.96 1.74 1.74 0.00 1.74 0.43
89.70 0.26 0.28 0.18 0.08 0.07 0.99 0.98 0.60 0.37 0.98 1.77 1.77 0.00 1.77 0.44
90.14 0.26 0.28 0.18 0.09 0.07 1.00 0.99 0.61 0.38 0.99 1.79 1.79 0.00 1.79 0.44
90.45 0.27 0.28 0.19 0.09 0.07 1.01 1.00 0.62 0.38 1.00 1.80 1.80 0.00 1.80 0.45
90.71 0.26 0.28 0.19 0.09 0.07 1.02 1.01 0.62 0.38 1.01 1.82 1.82 0.00 1.82 0.45
91.00 0.27 0.29 0.19 0.09 0.07 1.03 1.02 0.63 0.39 1.02 1.83 1.83 0.00 1.83 0.45
91.48 0.27 0.29 0.19 0.08 0.06 1.04 1.03 0.64 0.39 1.03 1.85 1.85 0.00 1.85 0.46
91.69 0.27 0.29 0.19 0.09 0.06 1.04 1.04 0.64 0.40 1.04 1.86 1.86 0.00 1.86 0.46
91.81 0.27 0.29 0.19 0.09 0.06 1.05 1.04 0.64 0.40 1.04 1.87 1.87 0.00 1.87 0.46
92.09 0.28 0.30 0.19 0.09 0.07 1.06 1.05 0.65 0.40 1.05 1.88 1.88 0.00 1.88 0.47
92.55 0.28 0.30 0.20 0.09 0.07 1.07 1.06 0.66 0.41 1.06 1.91 1.91 0.00 1.91 0.47
92.81 0.28 0.30 0.20 0.09 0.08 1.07 1.07 0.66 0.41 1.07 1.92 1.92 0.00 1.92 0.47
93.61 0.29 0.31 0.20 0.09 0.08 1.10 1.10 0.68 0.42 1.10 1.96 1.96 0.00 1.96 0.48
94.07 0.29 0.31 0.20 0.10 0.08 1.11 1.11 0.69 0.42 1.11 1.98 1.98 0.00 1.98 0.49
94.25 0.29 0.31 0.20 0.10 0.07 1.11 1.12 0.69 0.42 1.12 1.99 1.99 0.00 1.99 0.49
94.39 0.29 0.31 0.21 0.10 0.07 1.12 1.12 0.69 0.43 1.12 2.00 2.00 0.00 2.00 0.49
94.81 0.30 0.32 0.21 0.10 0.08 1.13 1.13 0.70 0.43 1.13 2.02 2.02 0.00 2.02 0.50
95.37 0.30 0.32 0.21 0.09 0.08 1.14 1.15 0.71 0.44 1.15 2.04 2.04 0.00 2.04 0.50
95.51 0.30 0.31 0.21 0.09 0.08 1.15 1.16 0.72 0.44 1.16 2.05 2.05 0.00 2.05 0.51
95.81 0.30 0.32 0.21 0.09 0.08 1.15 1.16 0.72 0.44 1.16 2.06 2.06 0.00 2.06 0.51
96.05 0.30 0.32 0.21 0.10 0.08 1.16 1.17 0.73 0.44 1.17 2.08 2.08 0.00 2.08 0.51
96.49 0.31 0.33 0.21 0.10 0.08 1.17 1.19 0.74 0.45 1.19 2.10 2.10 0.00 2.10 0.52
96.83 0.31 0.33 0.22 0.10 0.07 1.18 1.20 0.74 0.45 1.20 2.11 2.11 0.00 2.11 0.52
97.12 0.31 0.33 0.22 0.10 0.07 1.18 1.20 0.75 0.46 1.20 2.13 2.13 0.00 2.13 0.53
97.51 0.31 0.33 0.22 0.09 0.08 1.19 1.22 0.76 0.46 1.22 2.15 2.15 0.00 2.15 0.53
97.87 0.32 0.34 0.22 0.11 0.08 1.20 1.23 0.76 0.46 1.23 2.16 2.16 0.00 2.16 0.54
98.12 0.32 0.34 0.22 0.11 0.08 1.21 1.24 0.77 0.47 1.24 2.18 2.18 0.00 2.18 0.54
98.23 0.32 0.34 0.22 0.11 0.08 1.21 1.24 0.77 0.47 1.24 2.18 2.18 0.00 2.18 0.54
98.50 0.32 0.34 0.22 0.11 0.09 1.22 1.25 0.78 0.47 1.25 2.20 2.20 0.00 2.20 0.54
98.88 0.32 0.34 0.23 0.11 0.09 1.23 1.26 0.78 0.48 1.26 2.21 2.21 0.00 2.21 0.55
99.44 0.33 0.35 0.23 0.10 0.08 1.24 1.28 0.79 0.48 1.28 2.24 2.24 0.00 2.24 0.56
99.71 0.33 0.35 0.23 0.10 0.08 1.25 1.28 0.80 0.49 1.28 2.25 2.25 0.00 2.25 0.56
99.99 0.33 0.35 0.23 0.11 0.09 1.25 1.29 0.80 0.49 1.29 2.27 2.27 0.00 2.27 0.56
100.54 0.33 0.36 0.23 0.11 0.09 1.27 1.31 0.82 0.49 1.31 2.29 2.29 0.00 2.29 0.57
100.96 0.34 0.36 0.24 0.11 0.09 1.28 1.32 0.82 0.50 1.32 2.31 2.31 0.00 2.31 0.58
101.57 0.34 0.36 0.24 0.10 0.09 1.29 1.34 0.84 0.51 1.34 2.34 2.34 0.00 2.34 0.58
102.15 0.34 0.37 0.24 0.11 0.08 1.31 1.36 0.85 0.51 1.36 2.37 2.37 0.00 2.37 0.59
103.01 0.35 0.37 0.24 0.12 0.09 1.33 1.39 0.86 0.52 1.39 2.41 2.41 0.00 2.41 0.60
103.15 0.35 0.37 0.25 0.12 0.09 1.33 1.39 0.87 0.52 1.39 2.42 2.42 0.00 2.42 0.60
103.30 0.35 0.37 0.25 0.11 0.09 1.33 1.39 0.87 0.53 1.39 2.43 2.43 0.00 2.43 0.61
103.58 0.35 0.38 0.25 0.11 0.09 1.34 1.40 0.88 0.53 1.40 2.44 2.44 0.00 2.44 0.61
103.94 0.36 0.38 0.25 0.12 0.09 1.35 1.41 0.88 0.53 1.41 2.46 2.46 0.00 2.46 0.61
104.23 0.36 0.38 0.25 0.12 0.10 1.36 1.42 0.89 0.54 1.42 2.47 2.47 0.00 2.47 0.62
104.76 0.36 0.39 0.25 0.12 0.08 1.37 1.44 0.90 0.54 1.44 2.50 2.50 0.00 2.50 0.63
105.23 0.36 0.39 0.26 0.12 0.10 1.38 1.45 0.91 0.55 1.45 2.52 2.52 0.00 2.52 0.63
106.25 0.37 0.40 0.26 0.12 0.10 1.41 1.49 0.93 0.56 1.49 2.57 2.57 0.00 2.57 0.65
106.57 0.37 0.40 0.26 0.12 0.10 1.42 1.50 0.93 0.56 1.50 2.59 2.59 0.00 2.59 0.65
106.93 0.38 0.40 0.26 0.13 0.09 1.43 1.51 0.94 0.57 1.51 2.60 2.60 0.00 2.60 0.66
107.80 0.38 0.41 0.27 0.13 0.10 1.45 1.53 0.96 0.57 1.53 2.65 2.65 0.00 2.65 0.67
108.05 0.38 0.41 0.27 0.13 0.10 1.46 1.54 0.96 0.58 1.54 2.66 2.66 0.00 2.66 0.67
108.46 0.39 0.41 0.27 0.13 0.10 1.47 1.55 0.97 0.58 1.55 2.68 2.68 0.00 2.68 0.68
109.50 0.39 0.42 0.28 0.13 0.11 1.49 1.59 0.99 0.59 1.59 2.73 2.73 0.00 2.73 0.69
109.98 0.40 0.42 0.28 0.13 0.11 1.51 1.60 1.00 0.60 1.60 2.75 2.75 0.00 2.75 0.70
110.56 0.40 0.43 0.28 0.12 0.11 1.52 1.62 1.01 0.60 1.62 2.78 2.78 0.00 2.78 0.71
110.76 0.40 0.43 0.28 0.12 0.11 1.53 1.62 1.02 0.61 1.62 2.79 2.79 0.00 2.79 0.71
111.16 0.41 0.43 0.28 0.14 0.09 1.54 1.64 1.03 0.61 1.64 2.81 2.81 0.00 2.81 0.72
112.70 0.42 0.44 0.29 0.13 0.11 1.58 1.68 1.06 0.63 1.68 2.89 2.89 0.00 2.89 0.74
113.80 0.42 0.45 0.30 0.13 0.11 1.60 1.72 1.08 0.64 1.72 2.94 2.94 0.00 2.94 0.76
114.09 0.43 0.46 0.30 0.14 0.11 1.61 1.73 1.08 0.64 1.73 2.95 2.95 0.00 2.95 0.76
114.24 0.43 0.46 0.30 0.14 0.11 1.61 1.73 1.09 0.64 1.73 2.96 2.96 0.00 2.96 0.76
115.39 0.44 0.46 0.30 0.13 0.10 1.64 1.77 1.11 0.66 1.77 3.02 3.02 0.00 3.02 0.78
115.80 0.44 0.47 0.31 0.15 0.12 1.65 1.78 1.12 0.66 1.78 3.04 3.04 0.00 3.04 0.79
116.75 0.44 0.47 0.31 0.15 0.12 1.68 1.82 1.15 0.66 1.82 3.08 3.08 0.00 3.08 0.80
117.20 0.45 0.48 0.31 0.13 0.12 1.69 1.84 1.17 0.67 1.84 3.10 3.10 0.00 3.10 0.81
118.10 0.45 0.48 0.32 0.14 0.12 1.71 1.87 1.21 0.67 1.87 3.15 3.15 0.00 3.15 0.83
120.00 0.47 0.50 0.33 0.15 0.12 1.76 1.95 1.28 0.67 1.95 3.24 1.13 2.11 3.24 0.86
120.40 0.47 0.50 0.33 0.16 0.13 1.77 1.97 1.29 0.68 1.97 3.27 1.15 2.12 3.27 0.86
121.15 0.48 0.51 0.33 0.16 0.13 1.79 2.00 1.31 0.69 2.00 3.32 1.18 2.14 3.32 0.88
121.79 0.48 0.51 0.34 0.16 0.13 1.80 2.02 1.33 0.70 2.02 3.37 1.21 2.16 3.37 0.89
122.70 0.49 0.52 0.34 0.16 0.13 1.82 2.06 1.35 0.71 2.06 3.43 1.24 2.19 3.43 0.90
123.50 0.49 0.52 0.34 0.16 0.13 1.84 2.09 1.37 0.72 2.09 3.49 1.28 2.21 3.49 0.92
124.00 0.50 0.53 0.35 0.17 0.13 1.86 2.11 1.38 0.73 2.11 3.52 1.30 2.22 3.52 0.93
125.00 0.50 0.54 0.35 0.17 0.13 1.89 2.15 1.41 0.74 2.15 3.60 1.35 2.25 3.60 0.94
127.65 0.53 0.56 0.37 0.18 0.14 1.97 2.27 1.48 0.79 2.27 3.78 1.47 2.32 3.78 0.99
129.87 0.55 0.58 0.38 0.18 0.15 2.04 2.36 1.54 0.83 2.36 3.94 1.57 2.37 3.94 1.03
130.00 0.55 0.59 0.38 0.18 0.15 2.04 2.37 1.54 0.83 2.37 3.95 1.58 2.37 3.95 1.04
130.30 0.55 0.59 0.39 0.18 0.15 2.05 2.38 1.55 0.83 2.38 3.97 1.60 2.38 3.97 1.04
130.50 0.55 0.59 0.39 0.18 0.15 2.06 2.39 1.55 0.83 2.39 3.99 1.61 2.38 3.99 1.05
131.02 0.56 0.59 0.39 0.19 0.15 2.07 2.41 1.57 0.84 2.41 4.02 1.63 2.39 4.02 1.05
131.21 0.56 0.60 0.39 0.19 0.15 2.08 2.42 1.58 0.84 2.42 4.03 1.64 2.39 4.03 1.06
135.00 0.58 0.63 0.42 0.20 0.16 2.20 2.56 1.69 0.87 2.56 4.30 1.84 2.46 4.30 1.13
